trans_hour,trans_day,trans_month,trans_year,category,age,trans_amount,state,zip,fraud_risk
21,15,1,2022,0,31,56.0,9,33040,0
16,17,3,2022,11,33,20.18,22,48438,0
12,2,9,2022,0,50,35.06,12,52576,0
20,18,3,2022,5,53,1.94,31,7640,0
22,2,9,2022,7,28,62.56,7,20017,0
6,3,4,2022,9,40,27.43,34,12455,0
21,4,5,2022,10,31,80.04,23,56672,0
12,3,8,2022,1,39,18.34,49,25213,0
2,16,2,2022,2,81,54.22,34,12575,0
6,30,3,2022,11,56,1.69,14,62424,0
20,16,2,2022,13,51,2.75,32,88325,0
7,4,5,2022,2,68,75.11,45,22151,0
8,14,3,2022,12,66,3.41,43,75236,0
15,1,4,2022,11,40,9.05,32,87117,0
23,23,1,2022,6,27,83.97,15,47451,0
16,25,2,2022,8,19,14.77,43,77566,0
4,13,2,2022,11,56,9.15,14,62023,0
21,1,3,2022,9,25,7.92,27,28314,0
9,23,1,2022,4,69,80.86,40,29061,0
12,17,3,2022,7,32,71.11,14,60091,0
14,28,1,2022,6,22,4.12,35,45150,0
11,24,3,2022,3,30,21.8,35,44233,0
16,30,3,2022,13,51,3.69,29,68403,0
8,15,2,2022,2,58,63.5,12,52572,0
2,4,3,2022,12,26,140.99,43,79085,0
20,18,3,2022,5,53,1.94,31,7640,0
13,3,5,2022,1,60,10.87,25,39665,0
16,24,2,2022,12,31,3.44,45,24340,0
9,4,7,2022,4,31,193.1,24,64114,0
5,1,2,2022,9,79,1.48,35,43160,0
16,15,1,2022,11,21,1.53,48,54487,0
11,17,2,2022,4,44,84.09,42,38039,0
3,4,7,2022,4,73,127.19,4,96038,0
22,20,2,2022,7,55,47.95,35,44702,0
7,1,10,2022,8,37,103.84,3,85020,0
7,4,6,2022,2,48,54.79,1,36749,0
12,28,1,2022,6,41,67.78,2,72476,0
0,19,2,2022,12,83,4.33,31,7711,0
13,29,1,2022,7,35,56.82,22,48214,0
4,18,1,2022,1,82,25.76,20,20882,0
14,3,2,2022,10,43,7.2,43,78248,0
14,3,9,2022,1,79,49.75,45,24070,0
6,4,1,2022,4,38,208.93,49,25526,0
8,20,1,2022,8,33,2.97,45,23937,0
7,26,1,2022,11,36,85.15,38,17088,0
15,31,3,2022,5,73,85.62,38,15449,0
3,28,3,2022,9,58,4.19,9,33417,0
11,13,1,2022,2,63,56.55,28,58651,0
14,1,2,2022,6,21,3.77,16,67020,0
19,25,2,2022,0,62,46.64,14,61335,0
3,26,2,2022,4,38,114.6,41,57756,0
9,3,8,2022,2,67,53.8,36,73754,0
20,3,3,2022,7,66,16.84,24,64470,0
20,22,3,2022,6,44,6.92,22,48034,0
17,30,3,2022,6,31,9.86,3,85173,0
5,15,1,2022,2,50,71.87,40,29209,0
18,18,2,2022,13,55,7.65,19,2630,0
16,16,3,2022,13,83,5.92,37,97014,0
20,25,1,2022,10,28,15.64,34,12419,0
10,4,6,2022,11,58,5.69,16,67556,0
9,15,3,2022,3,30,58.61,9,33710,0
16,23,2,2022,12,46,1.09,38,15920,0
19,27,3,2022,5,37,138.63,12,50314,0
13,2,11,2022,6,21,1.71,48,54487,0
12,22,2,2022,5,33,123.23,35,45106,0
5,20,3,2022,11,64,2.4,24,64630,0
1,26,3,2022,3,43,44.19,2,72011,0
13,1,4,2022,6,40,76.87,9,33811,0
4,3,8,2022,4,51,135.93,49,26237,0
15,1,2,2022,1,35,3.16,43,79539,0
9,2,1,2022,2,30,32.14,35,45307,0
5,20,2,2022,8,31,18.28,38,15486,0
20,2,9,2022,11,43,6.33,48,54154,0
23,3,4,2022,7,26,107.2,40,29081,0
4,31,3,2022,9,62,1.24,42,37165,0
21,16,2,2022,0,48,108.71,34,10962,0
21,20,3,2022,7,42,56.57,38,16034,0
14,3,11,2022,1,21,3.54,33,89512,0
20,22,3,2022,6,44,6.92,22,48034,0
20,1,5,2022,10,68,7.43,18,70466,0
15,26,2,2022,7,39,45.39,25,39113,0
20,14,1,2022,6,58,12.7,24,63131,0
23,30,1,2022,1,43,28.65,22,48850,0
3,26,2,2022,4,38,114.6,41,57756,0
17,29,1,2022,4,19,71.2,25,38761,0
16,3,7,2022,9,47,14.17,41,57374,0
8,21,3,2022,2,46,56.01,25,39211,0
13,4,7,2022,13,38,507.33,41,57756,0
16,4,1,2022,1,46,45.16,1,36617,0
11,14,2,2022,9,40,33.79,43,76445,0
4,3,3,2022,2,33,57.12,19,1843,0
6,4,1,2022,4,38,208.93,49,25526,0
13,27,1,2022,5,44,73.17,34,14778,0
12,4,7,2022,1,64,50.39,43,79548,0
17,4,1,2022,0,42,72.04,50,82514,0
6,1,1,2022,0,72,1.9,38,16421,0
8,16,3,2022,3,26,70.51,18,71291,0
10,24,3,2022,12,52,5.21,50,83120,0
5,4,1,2022,3,34,38.15,47,98027,0
19,24,3,2022,0,21,2.63,43,79252,0
11,1,5,2022,2,56,34.17,14,61560,0
22,23,3,2022,9,21,96.76,40,29438,0
4,19,3,2022,12,51,5.52,32,88325,0
13,28,3,2022,7,17,32.79,23,55606,0
2,3,5,2022,4,46,96.01,1,35747,0
20,27,1,2022,13,23,5.72,43,77327,0
19,2,5,2022,1,28,37.85,34,13367,0
4,3,4,2022,3,48,44.34,43,76665,0
5,3,5,2022,11,68,6.32,38,15432,0
15,1,12,2022,5,32,14.52,44,84540,0
15,20,3,2022,7,28,267.7,43,78584,0
15,4,7,2022,13,93,7.99,17,41836,0
9,13,3,2022,3,45,40.99,38,15217,0
8,1,12,2022,11,47,98.61,18,70531,0
2,17,3,2022,9,49,73.75,4,92637,0
4,4,2,2022,2,23,51.63,22,49628,0
15,4,7,2022,13,93,7.99,17,41836,0
2,3,4,2022,2,57,60.16,38,16239,0
8,20,2,2022,8,48,4.42,49,24927,0
19,17,3,2022,12,38,2.93,1,35229,0
14,25,2,2022,6,46,43.65,12,50664,0
14,18,2,2022,12,43,5.03,43,78248,0
15,25,3,2022,10,83,116.1,31,7711,0
1,3,10,2022,11,35,84.92,17,40914,0
0,27,2,2022,12,49,1.41,4,92637,0
22,16,3,2022,11,46,104.64,41,57374,0
10,23,3,2022,4,26,209.66,24,64058,0
20,25,1,2022,6,36,79.55,38,17088,0
3,15,1,2022,2,36,64.15,29,69165,0
12,4,1,2022,10,67,48.0,18,70003,0
12,3,9,2022,6,63,55.13,34,14707,0
3,4,7,2022,4,57,132.51,14,61560,0
20,4,1,2022,13,37,7.2,47,99323,0
22,1,8,2022,5,21,93.03,33,89512,0
14,30,3,2022,6,45,75.89,12,50073,0
23,4,1,2022,10,29,27.98,28,58569,0
8,15,2,2022,2,58,63.5,12,52572,0
21,26,3,2022,5,57,22.17,34,11413,0
12,22,1,2022,9,39,147.7,24,63867,0
23,16,2,2022,5,57,29.51,44,84735,0
19,2,12,2022,12,34,8.76,45,23937,0
17,2,3,2022,11,38,5.94,29,68859,0
2,25,2,2022,2,53,78.04,43,76857,0
21,2,4,2022,5,40,75.16,25,39113,0
9,1,3,2022,8,61,5.68,2,71832,0
1,22,2,2022,4,77,119.39,36,74633,0
19,17,3,2022,12,38,2.93,1,35229,0
13,15,3,2022,6,44,7.81,14,62262,0
5,14,2,2022,2,86,47.66,21,4074,0
21,15,3,2022,1,44,52.59,31,7060,0
12,4,2,2022,1,20,138.66,34,12534,0
16,20,2,2022,11,34,1.63,43,77007,0
18,4,4,2022,13,45,464.15,34,14778,0
3,17,3,2022,2,50,44.64,28,58765,0
8,2,3,2022,2,26,77.07,35,45801,0
0,27,1,2022,2,19,44.91,43,77566,0
0,19,2,2022,12,83,4.33,31,7711,0
15,25,3,2022,11,27,4.65,34,14816,0
20,15,1,2022,13,32,6.64,38,17060,0
13,22,3,2022,7,35,27.24,43,77026,0
14,3,8,2022,5,21,11.24,10,30009,0
18,2,7,2022,7,54,27.84,27,28901,0
14,30,3,2022,7,66,95.02,1,35581,0
15,3,8,2022,5,37,30.01,49,26292,0
20,4,6,2022,7,25,8.14,34,13304,0
17,28,1,2022,12,47,4.53,35,45331,0
12,2,9,2022,10,57,2.86,38,16239,0
21,1,1,2022,6,38,16.58,49,25526,0
2,19,2,2022,9,94,9.05,20,21090,0
18,14,3,2022,7,24,27.82,18,70726,0
9,1,4,2022,9,48,250.02,21,4226,0
14,3,11,2022,1,21,3.54,33,89512,0
5,22,3,2022,9,28,26.76,10,31046,0
12,1,8,2022,13,29,3.91,1,35022,0
9,16,3,2022,3,49,54.92,4,92637,0
2,3,2,2022,4,62,103.04,38,16839,0
1,31,3,2022,2,36,55.21,42,37754,0
8,4,3,2022,4,57,91.68,17,40209,0
5,2,12,2022,9,47,70.23,4,92585,0
18,1,11,2022,7,30,60.32,36,73754,0
13,3,3,2022,1,25,8.03,2,72042,0
17,19,3,2022,0,48,51.08,1,36758,0
22,2,11,2022,5,43,77.49,50,82514,0
16,3,11,2022,12,23,129.42,34,13469,0
8,4,3,2022,8,51,30.73,49,26237,0
12,15,3,2022,7,34,48.68,43,77007,0
23,3,6,2022,7,46,52.27,14,61477,0
14,15,2,2022,6,29,3.82,9,33710,0
19,27,3,2022,7,23,47.97,43,77327,0
12,20,1,2022,1,40,60.49,9,33510,0
4,13,3,2022,3,25,47.28,43,78631,0
8,31,3,2022,2,36,88.52,36,74047,0
20,4,1,2022,13,37,7.2,47,99323,0
7,1,9,2022,8,32,144.29,9,33040,0
20,3,5,2022,6,43,44.62,48,54154,0
14,1,4,2022,5,84,16.27,27,27249,0
10,28,1,2022,4,57,89.66,20,21087,0
11,22,1,2022,12,32,135.07,45,23303,0
22,23,3,2022,9,21,96.76,40,29438,0
5,24,3,2022,2,63,75.23,21,4047,0
21,1,6,2022,7,29,54.02,36,73754,0
10,28,2,2022,4,48,122.68,34,12092,0
16,3,11,2022,12,23,129.42,34,13469,0
12,2,9,2022,10,57,2.86,38,16239,0
13,3,9,2022,13,34,2.45,34,13361,0
1,4,5,2022,2,57,85.73,38,16239,0
22,17,1,2022,8,18,94.96,2,72165,0
8,2,9,2022,3,36,35.9,38,15484,0
12,14,2,2022,7,51,4.74,29,68438,0
20,1,7,2022,10,59,43.46,15,46366,0
14,27,1,2022,1,20,17.66,46,5461,0
11,15,2,2022,4,54,65.84,19,2180,0
17,3,10,2022,11,34,92.65,38,19149,0
14,3,12,2022,1,65,31.48,12,51453,0
7,22,3,2022,2,48,65.39,1,36749,0
17,14,1,2022,9,20,8.53,34,12534,0
21,24,3,2022,1,86,140.21,20,20776,0
8,2,9,2022,3,36,35.9,38,15484,0
10,4,5,2022,11,54,2.12,31,8323,0
14,29,3,2022,11,31,2.72,6,6024,0
5,25,3,2022,2,56,71.2,38,16878,0
1,26,2,2022,2,47,44.81,49,26339,0
10,4,6,2022,11,58,5.69,16,67556,0
6,1,11,2022,2,21,58.66,48,54487,0
16,4,6,2022,0,48,110.95,43,76665,0
13,28,3,2022,11,34,786.39,43,77007,0
12,2,9,2022,0,50,35.06,12,52576,0
2,3,4,2022,2,57,60.16,38,16239,0
9,3,12,2022,4,36,118.97,43,79539,0
17,24,1,2022,12,39,70.5,22,49854,0
13,3,5,2022,5,58,23.38,16,67556,0
10,14,3,2022,8,56,73.52,34,14711,0
23,27,2,2022,5,39,5.7,22,49854,0
11,4,4,2022,4,35,156.72,34,14037,0
1,30,3,2022,12,54,8.8,6,6441,0
19,18,2,2022,7,51,18.71,34,12093,0
21,26,3,2022,6,14,60.66,14,60958,0
13,16,1,2022,6,23,28.39,4,90250,0
11,29,3,2022,3,38,73.91,31,7208,0
7,17,3,2022,11,81,3.8,37,97375,0
2,3,4,2022,2,57,60.16,38,16239,0
21,1,3,2022,6,59,33.39,4,94569,0
14,2,3,2022,13,57,6.18,35,43903,0
3,19,2,2022,11,55,6.19,35,44702,0
0,20,2,2022,3,30,50.53,34,11955,0
11,22,1,2022,12,32,135.07,45,23303,0
12,14,2,2022,7,51,4.74,29,68438,0
8,24,3,2022,9,89,9.45,40,29170,0
7,16,1,2022,3,24,43.62,42,37932,0
14,1,8,2022,10,67,7.75,29,68463,0
11,3,10,2022,9,85,5.45,9,34112,0
20,1,4,2022,7,59,92.78,17,41810,0
18,16,1,2022,6,84,113.39,9,34112,0
21,3,4,2022,7,47,127.49,14,62067,0
18,14,3,2022,7,24,27.82,18,70726,0
15,4,7,2022,13,93,7.99,17,41836,0
5,17,2,2022,8,60,2.99,25,39665,0
12,15,2,2022,10,27,10.86,34,13647,0
13,20,3,2022,6,54,97.56,12,50421,0
15,25,3,2022,1,79,291.92,35,43160,0
15,4,3,2022,12,35,8.98,20,21750,0
3,2,8,2022,2,64,66.81,22,49632,0
10,2,4,2022,11,83,5.48,31,7711,0
7,20,1,2022,4,43,35.41,48,54154,0
17,19,2,2022,11,41,1.86,43,75452,0
10,19,3,2022,2,37,63.66,48,53129,0
6,28,3,2022,12,83,7.17,29,68881,0
12,28,3,2022,6,43,21.65,43,76578,0
0,14,1,2022,8,79,21.84,5,81642,0
16,1,6,2022,10,68,59.17,18,70466,0
4,3,8,2022,4,51,135.93,49,26237,0
20,3,6,2022,10,27,100.21,48,53120,0
18,16,1,2022,6,84,113.39,9,34112,0
16,18,3,2022,6,29,39.68,28,58569,0
1,1,8,2022,11,51,5.14,17,42634,0
0,25,3,2022,12,58,4.17,35,44265,0
13,21,1,2022,10,48,60.6,43,76665,0
15,15,3,2022,12,46,8.87,26,59448,0
11,1,5,2022,2,56,34.17,14,61560,0
2,3,5,2022,4,46,96.01,1,35747,0
21,16,2,2022,0,48,108.71,34,10962,0
1,31,3,2022,11,64,5.5,1,35651,0
15,4,4,2022,7,27,2.82,34,13647,0
16,3,12,2022,11,20,4.03,25,38761,0
16,16,3,2022,12,46,279.91,41,57374,0
23,30,3,2022,12,48,1.11,43,76665,0
21,2,4,2022,6,40,163.65,34,11978,0
4,31,3,2022,9,62,1.24,42,37165,0
8,3,6,2022,4,63,92.8,4,92210,0
0,2,7,2022,11,88,359.68,43,75661,0
11,4,4,2022,12,63,30.83,28,58651,0
23,3,6,2022,7,46,52.27,14,61477,0
12,1,8,2022,13,29,3.91,1,35022,0
13,3,9,2022,10,58,36.78,16,67556,0
2,24,2,2022,9,46,9.29,4,92585,0
2,3,12,2022,4,36,117.53,43,77412,0
2,24,3,2022,4,48,118.67,38,15458,0
21,1,4,2022,6,24,75.56,22,49775,0
7,13,3,2022,4,73,60.02,48,53186,0
7,19,2,2022,3,29,65.6,12,52760,0
15,30,3,2022,6,57,13.77,35,43903,0
6,28,3,2022,12,83,7.17,29,68881,0
6,16,2,2022,0,54,12.88,6,6441,0
2,3,12,2022,4,36,117.53,43,77412,0
15,14,3,2022,7,19,193.08,25,38761,0
23,27,3,2022,10,74,9.88,10,30756,0
18,26,3,2022,6,31,27.13,50,82072,0
14,2,8,2022,1,34,29.89,22,48438,0
17,24,3,2022,10,28,109.31,43,78584,0
17,26,1,2022,7,80,8.61,2,72524,0
5,3,10,2022,11,55,8.86,26,59542,0
19,14,2,2022,12,37,191.02,47,99323,0
20,1,1,2022,10,66,69.54,36,73754,0
10,19,3,2022,2,37,63.66,48,53129,0
12,17,3,2022,7,32,71.11,14,60091,0
10,24,3,2022,12,52,5.21,50,83120,0
1,4,4,2022,2,45,65.63,50,82221,0
12,4,2,2022,1,20,138.66,34,12534,0
4,2,7,2022,3,51,117.41,36,74130,0
18,14,1,2022,12,28,2.21,43,79842,0
2,23,1,2022,9,44,360.99,47,98233,0
22,17,1,2022,8,18,94.96,2,72165,0
17,22,3,2022,5,44,75.62,10,31042,0
21,1,6,2022,1,38,115.61,31,7208,0
2,20,3,2022,0,60,38.52,23,55388,0
7,17,3,2022,11,81,3.8,37,97375,0
14,3,8,2022,10,92,28.53,10,31563,0
4,1,11,2022,12,58,5.25,20,21524,0
0,20,2,2022,3,30,50.53,34,11955,0
2,2,8,2022,4,32,33.52,23,56379,0
15,2,10,2022,10,21,24.7,15,46346,0
4,19,3,2022,12,51,5.52,32,88325,0
22,20,2,2022,7,55,47.95,35,44702,0
5,17,2,2022,8,60,2.99,25,39665,0
5,3,10,2022,11,55,8.86,26,59542,0
4,16,3,2022,4,43,83.11,43,76578,0
9,4,5,2022,4,27,102.48,34,13647,0
12,4,1,2022,10,67,48.0,18,70003,0
9,3,7,2022,3,34,35.85,36,73027,0
11,3,10,2022,9,85,5.45,9,34112,0
7,1,8,2022,11,65,29.48,24,64630,0
14,15,2,2022,6,29,3.82,9,33710,0
0,1,1,2022,12,54,66.21,22,49879,0
20,1,5,2022,10,68,7.43,18,70466,0
4,3,8,2022,4,51,135.93,49,26237,0
13,3,10,2022,6,48,26.65,22,48174,0
19,14,2,2022,5,62,13.31,22,48088,0
14,24,3,2022,0,30,33.64,34,11955,0
14,18,2,2022,12,43,5.03,43,78248,0
9,1,4,2022,4,43,43.75,43,78248,0
22,1,8,2022,6,39,85.17,22,49854,0
3,15,1,2022,2,36,64.15,29,69165,0
1,26,1,2022,8,29,8.57,44,84002,0
20,3,6,2022,5,46,77.43,32,87533,0
4,13,2,2022,11,56,9.15,14,62023,0
11,1,12,2022,4,54,121.94,43,76857,0
4,16,3,2022,4,43,83.11,43,76578,0
18,27,1,2022,6,33,11.21,22,48438,0
13,4,7,2022,13,38,507.33,41,57756,0
18,24,1,2022,12,20,161.25,15,46346,0
13,2,8,2022,5,35,112.3,1,36869,0
4,4,1,2022,2,55,32.73,44,84325,0
14,15,3,2022,6,41,24.15,43,75452,0
22,2,9,2022,7,28,62.56,7,20017,0
19,3,3,2022,6,30,57.71,34,11955,0
18,15,3,2022,11,30,141.67,35,44233,0
18,27,3,2022,7,20,25.47,34,11217,0
17,22,3,2022,5,44,75.62,10,31042,0
